2018-04-15T10.30.22  |1725592, 0821310B000023E490
2018-04-15T10.30.22  |1725635, 05
2018-04-15T10.30.22  |1725654, 3121
2018-04-15T10.30.22  |1725684, FF03D5
2018-04-15T10.30.22  |1725781, 0621312900E0CB
2018-04-15T10.30.22  |1725844, 0531
2018-04-15T10.30.22  |1725884, 21FF03D5
2018-04-15T10.30.22  |1725970, 050131066083
2018-04-15T10.30.22  |1726087, 093121FB00
2018-04-15T10.30.22  |1726134, 000000F3CC
2018-04-15T10.31.21  |1785126, 082131070A1F0656C6
2018-04-15T10.31.21  |1785200, 05
2018-04-15T10.31.21  |1785250, 3121FF03D5
2018-04-15T10.31.21  |1785335, 0521310960A1
2018-04-15T10.31.21  |1785410, 0531
2018-04-15T10.31.22  |1785453, 21FF03D5
2018-04-15T10.31.22  |1785564, 0821310B000023E490
2018-04-15T10.31.22  |1785691, 053121FF03D5
2018-04-15T10.31.22  |1785783, 0621312900E0CB
2018-04-15T10.31.22  |1785861, 0531
2018-04-15T10.31.22  |1785881, 21FF
2018-04-15T10.31.22  |1785900, 03D5
2018-04-15T10.31.22  |1785982, 052131066083
2018-04-15T10.31.22  |1786071, 0931
2018-04-15T10.31.22  |1786121, 21FB000000
2018-04-15T10.31.22  |1786152, 00F3CC
2018-04-15T10.32.21  |1845149, 082131070A2006D4C6
2018-04-15T10.32.21  |1845228, 05
2018-04-15T10.32.21  |1845257, 3121FF
2018-04-15T10.32.21  |1845278, 03D5
2018-04-15T10.32.21  |1845368, 0521310960A1
2018-04-15T10.32.22  |1845489, 053121FF03D5
2018-04-15T10.32.22  |1845607, 0821310B000023E090
2018-04-15T10.32.22  |1845679, 05
2018-04-15T10.32.22  |1845729, 3121FF03D5
2018-04-15T10.32.22  |1845827, 0621312900E0CB
2018-04-15T10.32.22  |1845888, 05
2018-04-15T10.32.22  |1845938, 3121FF03D5
2018-04-15T10.32.22  |1846026, 050131066083
2018-04-15T10.32.22  |1846190, 093121FB00000000F3CC
2018-04-15T10.33.21  |1905182, 082131070A210652C5
2018-04-15T10.33.21  |1905303, 053121FF03D5
2018-04-15T10.33.21  |1905391, 0521310960A1
2018-04-15T10.33.22  |1905505, 053121FF03D5
2018-04-15T10.33.22  |1905620, 0821310B000023E410
2018-04-15T10.33.22  |1905703, 0531
